"","G0","G1","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G2","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G3","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G4","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G5","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G7","G71","G72","G73","G74","G75","G76","G77","G78","G79","G8","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G9"
"1CMET2-PWY",317.221320626833,31587.5916590916,20007.7255900851,3425.58429221069,4340.3668863795,535.831427836822,5211.35158099186,183.333992647035,8477.86172385587,15282.8903594208,681.619011768749,601.457193435466,4412.25002153791,3373.02663637187,5760.75739972994,18698.5137724087,8771.64350680189,22190.326077604,475.133162319649,968.312489905445,1239.503455639,44.461582892384,2510.08253618343,13219.2914867305,6271.1425659855,58738.4532759601,9583.62056159085,7650.47295465553,1483.01749603972,17817.8636619268,45751.5955982748,3763.56275353127,517.684059842098,1344.23159536419,28343.718889291,3948.86511232004,2903.08781562389,18186.4695250453,78283.20021226,107431.813942264,12640.2910870645,5366.15350382174,54131.6171906059,9529.32273998013,12865.3976094901,4295.94108750826,7012.12860748874,1061.12456917202,12355.8869407951,2290.25367856996,1118.37485011944,4644.53531799691,17022.3163869916,260.432759401368,3082.91173032288,4180.74885402045,807.343763701825,1409.2821699245,2903.96444610202,5797.47888118977,649.854863135969,2034.95738367194,667.582542779333,2192.15639628939,1269.57983078703,1204.12002621738,2950.37927197601,60973.8100739225,22839.897150876,130503.635694394,128597.595668795,216416.307131923,275387.792706479,55705.7313113687,214.677434948163,50664.5791140264,10507.2630879891,183435.600140338,213954.443696993,30239.6934613607,13634.3567526366,81631.5103594537,11918.3791526502,44752.510318625,76197.4826133527,57212.8240610303,2815.04451606987,10621.2974656098
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",62.0006196324728,101.654632712274,4.66312395599325,88.4267098014882,15.2466676423827,51.6809365387854,0,46.2846677185248,0,3.30377272970135,0,110.519909868027,93.1461984546389,164.734730990148,10.5714651082528,56.8069162914318,387.190860642914,169.804402316118,68.7864478661791,46.1602184966271,5.97717390107853,5.27425390983763,310.833234936763,0,0,9601.79116437619,4173.47472188861,1692.25116911809,150.211518011364,4926.08049625792,915.836903290403,1713.23864138277,249.525894215917,510.960238314177,25.5235705897488,1589.22776669737,1053.0695008878,1320.31498589906,59289.7915823978,402.029375365024,7940.28609726531,409.294829064814,0.0249507764407303,5325.8036555879,3024.61539087862,575.699771310152,1907.03360888076,95.8937768594069,5464.76018746527,336.439930349526,187.707331494841,1465.41939014472,2909.59263390033,207.396350808793,370.018688288525,2252.12004927037,442.041250721071,685.645469285185,315.576395500385,2025.23251617263,213.445043613213,236.058982221863,144.922621729585,414.554309711506,389.251989097456,249.170383622794,80.8771601989323,6547.6004883775,2579.74875923405,33777.9972245496,38166.5232653945,35950.9021332348,99436.2672019841,44680.2104398812,107.182516014874,20280.5931880178,71.7157028227388,51901.4626018544,50087.3382017754,10509.4607681918,4058.4762747251,63162.4375309125,4045.67692595807,112.561699615064,560.340188879317,46010.411571267,937.907550794325,0.732359854044292
"AEROBACTINSYN-PWY",29.6566842019711,0,0,0,0,2.40556292882386,0,0.0528291847375069,0,8.22291150056996,0,0.452344009682201,29.4634223682386,0.0290919910446093,152.972395221427,0.0685286199074253,155.385872694594,7.71544991426988,31.5121766189976,11.0947803132397,0.000223484890793847,0,80.0763295748768,0,0,845.099315152565,14.905257131425,96.779466686765,31.9907201528485,43.3154357627449,96.8217119913179,53.7363125019337,0.0765980629539951,0.106908004643275,1.02170677966726,17.0063123551973,0,24.3242508703917,10415.1617183155,0.0554811796801379,1183.9268208224,0.0736139257314734,0,0.182203022087016,78.5421098502488,66.0344467394243,26.3791767971862,3.78464020974388,53.8754177846846,24.0872352488103,7.155743336399,0,46.2239692549817,21.250367065732,71.8040858742115,30.3812425695781,29.7181395191428,77.0250845117862,0.0112564218292529,81.0029572877072,28.0744598805475,19.8984468672797,103.969631495254,18.3187186503297,154.784758602509,18.4392511667262,74.5152158213387,98.8445748612784,223.696433150808,44.2003971407634,182.391681396016,225.271774467774,101.990658540327,10659.1225414304,0.00634942929742084,172.305631072625,0.000169689061140465,391.193020882239,511.055306691601,1058.99356942155,326.36192542689,14359.622525046,138.237988095742,0,22.3124444396825,11268.5804647299,126.75856374159,0
"ALL-CHORISMATE-PWY",68.6876613927131,65.2061721292092,0,67.5776657263988,1.59899999999999e-12,122.347244406101,18.9024327728026,24.7594622690188,7.96468393316089,343.806647415757,0,102.713292826045,475.844682507401,455.939175454556,232.68218454922,0,1502.81044376497,86.2816216309986,253.73504588628,401.979907846474,144.452578966151,0,1000.27834041599,0,11.9719437927617,28865.0089625697,137.490646698979,2835.86001651409,413.084023476341,3478.70634463295,3923.27012605229,467.071055216237,323.138524907604,467.133199009838,123.888356359442,776.084936461113,15.5571802533146,2141.37704352009,68929.2999060369,1011.00839185326,9683.88911545195,625.573878277578,0,253.925418271692,4736.59084134803,1015.93434006896,2039.03097684887,55.0578322124518,351.219462164017,251.175253852707,184.235843520223,218.995718944297,3675.62521071688,261.729948372805,1326.09500980731,554.193083929913,421.501828529943,761.608743384875,270.731511941558,702.406389962929,398.201601713464,580.547814891791,32.2871328101896,1048.82925554813,538.952987521166,382.719800124795,363.667617223502,3385.14869546613,7559.50208813128,2194.57126527272,487.76628564913,10620.3008692587,3825.571532137,59746.068931217,61.2488333270323,4455.17853839634,66.9423606496492,14747.1178887938,10803.2854956062,14830.2689849677,5838.56362797754,85088.940582308,2822.94421394548,40.7459429880554,2815.76560772735,62010.0398069513,1698.52921053534,0
"ANAEROFRUCAT-PWY",168.198850363923,1988.72282071211,3138.98936055283,3714.01984599053,1352.93151450812,607.912305485443,5702.20560439501,153.191150100495,8816.74566642511,16280.4623967336,722.43559505185,541.545924511049,2550.74848249847,2363.45297997105,3898.55324392213,4625.82312331525,3618.73764350448,2009.41353004114,522.475176245249,1197.39979616013,1320.20785316916,0,2639.66417013113,14183.3361355594,6736.39913826019,71239.2875579523,5393.22451866094,7139.00922417612,1363.79384251363,13472.2025732416,56467.5942645873,1869.24745725108,475.205395398018,917.488758799497,30719.5349027419,3072.91833963939,2171.99661830737,22139.7086037813,79158.5834671378,23422.3459127383,11927.3423860149,7638.16985640636,65821.1842443145,5518.68366080395,13475.9020670645,3198.1694538579,6420.89029274916,409.055242497543,35634.5267164316,5510.56454879808,1792.3066945743,2470.46847652889,17302.4812162721,292.993097457566,2750.73303002063,2288.49609064608,615.425575924354,1238.75572149308,2144.64526977132,3152.41444187051,639.037857128518,1999.17998792265,551.083098389372,2374.57492672376,1138.13219697279,1477.50221248356,3591.76638497091,27355.932355501,22153.9442067561,22174.9710362324,4182.44087022549,100585.101386451,29109.6975593075,67431.0162440613,133.640233759654,15664.5333982541,3131.42976531722,67503.9484085391,36427.9436431886,24014.9397553848,12223.6829919881,97924.1525198896,7207.20144142959,52526.5051077812,89316.6508034949,70347.9150511655,2656.32749644003,11266.4381910528
"ANAGLYCOLYSIS-PWY",199.990469598258,1911.64901636143,3188.63116820141,4065.53374562229,1568.63963737779,631.440079299143,6190.43625175771,168.366866281456,10019.4711080448,18067.9666843136,806.883518734236,603.995290842335,2663.79512483178,2537.1920361865,4211.14067534868,4367.08240054345,4054.68108266207,1938.54569219251,583.522246191924,1228.03018960096,1413.92320647338,12.1495086275181,2911.60022152583,15673.2614040311,7448.44129623662,73362.8439729998,8515.52287477707,7980.76791625782,1461.62243818719,14490.7553187382,55767.8120597603,3161.86173527919,531.041854715443,926.516210773694,33641.2592948483,3937.6715074418,2880.65056871825,21480.9100248932,79776.7585435372,21065.8148964607,13248.7749946351,8245.22361199246,65583.2737476622,8505.37671883806,14526.3934076089,3334.58564288643,7207.81786118614,462.471334055869,38567.8916968855,6087.15430745574,1997.29018828323,4154.45215271389,18052.95872148,295.137479060448,2843.69057671746,3747.30574462144,729.441275133216,1431.57840905682,2601.50333209904,5318.09681900206,723.278185612329,2159.94738183104,586.284698965989,2628.70904939903,1301.89478402834,1483.97451524376,3561.89373608633,27030.6344972803,23437.0404694821,20630.4897139668,5365.94115448361,103280.069409903,28411.9121506702,65682.0560631066,147.440889526141,17141.7985139315,3043.00963451104,67627.5218310563,37680.7989488063,24092.1051797501,12831.1500078964,97033.8077835348,10625.6800446067,52768.8032418109,90477.4163430404,69255.4149957383,2908.09144215081,12568.0652176419
"ARG+POLYAMINE-SYN",130.16360336039,527.831991944164,430.85773400529,126.300575167382,361.167692272269,181.076019042395,3.74559332307129,77.7040006863157,1.94465792877873,240.642544599589,0,316.396123373175,1469.27347422964,585.000018003913,833.315266024028,106.987850498475,2171.68379753537,171.986825135472,267.22198655167,357.347504578134,104.031434371496,14.3374767260117,1043.16804753143,6.16693749388546,4.50937878400488,22574.9281920434,1103.58733583083,3519.60503764952,853.121969930217,7073.87127980157,1627.38661048013,947.343260799756,430.3905737591,769.591499785655,124.557664592998,906.458439248924,713.773647607166,332.54955811116,68062.6491387242,11815.9326493017,9720.62296052231,2646.8914803923,0,624.200853014685,3733.61661649316,2010.28934395148,2521.15463718902,488.80927181609,16067.0856693317,1887.17513064494,775.548816788379,906.102888244796,5774.85810969407,257.101610947412,1182.7796695961,1197.34346819014,318.105679590023,995.596584783636,247.956751811355,1283.67356015996,525.881375802161,901.87731147257,325.917212387262,881.652694194688,695.495815863547,441.280897671248,627.206778446605,23479.3279654745,10974.0655112941,67176.4937879082,65534.050589672,106923.414084841,124680.268548312,56877.3118029479,55.1848213134876,17147.5980262998,278.005827184463,91908.3776122796,108981.944963214,18906.0576744274,6076.99593839025,81133.2286382568,3184.89822795984,104.679635699177,2341.74551893222,58725.2056350143,1725.23688934299,24.8797754400448
"ARGDEG-PWY",34.9919877413528,58.88790918074,0,11.9127532351991,21.7994094357783,1.4175029277296,0.00353704784227713,56.401121157842,0.431115810211956,6.70773593516694,0,34.2474223977305,95.0208668922521,238.4862868323,48.2830556486783,0.0314654869622988,871.383825919992,85.6168622238868,109.710781132299,105.254133588381,9.0035930215643,0,214.719705017712,0,0.713412229441513,8853.38406961927,63.9700055514289,1099.9235334479,13.3016047204637,1197.03277627523,629.799684944939,428.641784966305,231.247609436706,382.902248027648,2.9148143967993,60.4603932729583,0,143.392101489351,71761.1952043865,297.390152898846,7736.05565038769,74.1648761681031,0,74.8965474823867,340.122488912443,395.245272761951,693.407320448478,17.773507280667,79.6250772248405,106.241629414025,36.1497653129809,0,324.474255916671,255.685121792613,964.754731258971,277.085343486005,214.64267232011,608.007525442281,60.4590387124726,288.824968700582,317.153151247222,94.6381018413367,199.192591217335,294.542275111727,453.24807618022,197.37847803629,5.60352370726304,1213.51279887735,2120.74527760925,2292.86377380505,819.777355613963,1664.51917105641,3166.41287790988,58281.383407954,36.5392620581085,2483.3557653095,63.908487473046,5616.79114558737,6675.61394103173,12558.1521805859,3194.19117291905,83149.6668055192,1732.2881180134,9.46325555180074,275.544435660314,60638.5363968905,1218.85517228252,0
"ARGORNPROST-PWY",214.345799122686,27208.6737658506,16963.6601277945,651.434928395418,3647.15917994818,240.192340252041,356.550878777557,70.5825917006127,0,438.740504956972,9.99936377421764,166.218267817693,3257.4834337635,1816.55869391879,4825.82159349697,15583.7412860964,6443.63659827937,18942.5211776755,341.702619105304,393.206979239922,561.871795284952,34.001527732297,1488.57641041068,95.33494422128,31.4723453175444,57464.9814250626,630.795593843467,3733.27622413333,826.455104805536,12314.5761340992,10035.5759512527,894.187947636199,261.063277723664,647.141079127857,361.877489395453,960.420197999889,854.937347315539,6678.79735518213,33197.0668948332,79505.6066766324,2812.6771271102,5067.67357525539,3497.35967847474,718.00389721877,7607.69409970142,1943.80177154389,5185.59039342488,799.929070017778,5120.95326718098,1782.94272858983,1117.30769681053,662.849570447581,11788.4334410023,11.7560834244416,1453.05601478937,168.667304743101,23.2159586119644,392.821725906695,1365.36396306407,738.336891098581,397.799671119911,1377.07550916016,324.248780409289,1582.9643001599,985.255166471635,852.075788853035,1559.86649550065,40965.1794271834,16105.4742086731,111399.334189803,112721.195675757,175348.281601173,230361.513698312,3360.65457554271,137.406311762629,44817.3870237021,8837.78994120677,158612.190240869,172196.348414227,18877.1162510243,11365.299542974,9826.66422550679,4290.21673250635,2872.07899187608,8844.96083814982,1601.05055679665,1608.71140093796,182.27661753218
"ARGSYN-PWY",285.206946752455,29659.058655998,18778.2359094735,3719.68622588462,4074.23516487783,496.713131888848,5437.72418435755,172.032487438981,8914.88549732446,16229.6291185507,721.596181332427,525.333633808156,4163.35206505038,2762.24337992625,5619.29241778257,17710.4723631277,8241.9995808805,20853.8338778019,511.4645231231,864.613671968796,1362.79108075639,40.8382803615571,2435.85477500677,14086.6844992369,6671.94946272627,70065.1002842134,8980.61987073689,7874.33937410934,1615.36273345014,18241.0581870864,52263.5645898382,3540.70593302945,499.822710496132,1284.89120910401,30442.2160263261,3864.90071137926,3059.17265475962,20571.7988034974,71429.9566866173,105413.392322008,11984.116576704,6317.07819474761,62241.2225222874,9355.75900901685,14162.2661666808,3772.81241494384,7474.75580756947,1154.23061807355,25379.7507152869,4121.79494899321,1435.87051136526,4255.74445837981,18995.8937395823,242.738479565432,2945.90183645098,3895.72425139543,641.403839755822,1383.96411397886,3395.19666288507,5397.3497924312,769.479960066195,2019.01149680553,633.654199782999,2120.00591456708,1297.05000966708,1034.28016936982,2955.58176934037,62994.1816435674,24612.5489751174,120182.932666178,115652.170049182,206939.876719151,247185.234034159,52490.1145014129,182.339694338751,45943.9893573257,9991.56142426346,172639.457052161,194197.32753519,27999.119651645,13415.1777524843,77368.8533401496,11357.1644557312,51880.4154673609,87878.7643420636,54128.7421692637,2774.39667359587,11226.3970806254
