Feature.ID,Taxon,Confidence,Kingdom,Phylum,Class,Order,Family,Genus,Species,otu_occ,otu_rel,fill
AB033209.1.1505,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_algidus,0.978462577974943,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_algidus,0.0227272727272727,3.41409609278898e-05,Rare
AB034799.1.1494,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas,0.999999691761299,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas,NA,0.0227272727272727,0.000271566743332795,Rare
AB062283.1.1345,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter,0.995898476866141,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,NA,0.0340909090909091,4.770355640592e-05,Rare
AB109889.1.1484,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae,0.999387020114182,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,NA,NA,0.136363636363636,0.00597635807014308,Core
AB111934.1.1414,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,0.948540205966555,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA,0.0227272727272727,0.000118846098036171,Rare
AB193261.1.1528,Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Patulibacter; Patulibacter_minatonensis,0.760889434657851,Bacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, Patulibacter, Patulibacter_minatonensis,0.0340909090909091,8.64188202738995e-06,Rare
AB195985.1.1410,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae,0.999768036075979,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae,NA,NA,0.0795454545454545,0.000556502805577661,Rare
AB205571.1.1418,Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Shewanella_glacialipiscicola,0.970117679768275,Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella, Shewanella_glacialipiscicola,0.0340909090909091,0.000133607616483821,Rare
AB205576.1.1426,Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Shewanella_morhuae,0.982501913500358,Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella, Shewanella_morhuae,0.0227272727272727,0.000341906951958108,Rare
AB272364.1.1268,Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Kurthia,0.775860144934677,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Kurthia,NA,0.0340909090909091,5.29324199307195e-05,Rare
AB369002.1.1355,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter,0.998937355196812,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,NA,0.0340909090909091,0.000678686489330343,Rare
