"","rab.all","rab.win.Fall","rab.win.Spring","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"1",4.54471255156847,5.09733553287139,4.17688364451166,-1.04683951109728,1.92591662330217,-0.493918631621507,0.275892861800595,1.02815804321091e-05,0.000222164784269434,0.000484132788908015,0.00363239394540976
"9",3.27500106868774,3.53631130824777,3.00950823077508,-0.757016760467192,2.199247160497,-0.301997597901054,0.337946431578753,0.0134441770941728,0.0344894886880464,0.0136907651476299,0.0412670546633022
"10",4.51060900359182,5.05685655568226,4.1930243513155,-0.833048693408919,1.9979870765163,-0.374910595122423,0.332589288845729,6.27544514290705e-05,0.000626998513209967,0.00487942874272986,0.0200589279609027
"11",4.55970845954645,5.1550807693152,4.24680260956471,-0.928839917990866,2.00309668732642,-0.406242938439991,0.308790722145568,4.40781218333623e-05,0.000554776439209376,0.00310432111162361,0.0149184665468582
"12",4.58140851900021,4.84336258500136,4.3436778909405,-0.578026868988576,1.75041751100803,-0.258356056313642,0.352232145546165,0.000575524042791307,0.00305979387533818,0.0193606899867163,0.0529719456387826
"14",2.33448897798317,3.15015704918533,1.6064723561245,-1.36033549897971,2.95322608256904,-0.391779014878413,0.323962520067977,0.0134017884990059,0.0334223304220514,0.00730374445085431,0.0265715049958175
"16",3.56816394547348,3.95424508345473,3.38060817576184,-0.669942692615704,1.9452309911009,-0.311633198633256,0.350892859860987,0.00505366911095886,0.0165968493592311,0.018920638303785,0.0520673478561733
"17",4.90565993708467,5.11980909260379,4.71336817801626,-0.51412513403807,1.95061835747188,-0.240289620121598,0.379910716402277,0.00142610040765321,0.00626482139394981,0.0594319551138572,0.124205772373263
"18",4.64097072100026,4.89654121595031,4.40834452422573,-0.660909578601834,1.83351618347557,-0.321708681652122,0.331102189687441,0.000204147649815073,0.00140792117069892,0.011037137197156,0.0355426212123285
"23",4.37628380281444,4.80315559887385,4.00936642484675,-0.871267723335953,1.94238195965645,-0.393792970174304,0.294957612300814,2.98767123911561e-05,0.000466352991701956,0.00147488261025653,0.00884518133588763
"27",4.66019894300857,4.94216077797595,4.38695862105979,-0.565467118814169,1.72856865127169,-0.275965214251442,0.347767859929475,0.000451244550729262,0.0025799552642498,0.0150068900627991,0.0437689933146073
"31",3.96658161658093,4.45088213246358,3.67269077055983,-0.63419918307988,1.27585604252019,-0.449039655480783,0.293618924252774,0.000153114149103662,0.00112251787978442,0.00068126533843053,0.00471588872675755
"33",4.3070649023052,4.90290832902885,4.11380684553716,-0.727039032532899,2.27041130732806,-0.296059614333226,0.361607145346295,0.000694787890355625,0.00352685207145197,0.0251639646433243,0.0647451767142593
